Biomarker_Name,Type,Developer,Measurement_Method,Validated_In_Humans,Correlation_With_Mortality,Sensitivity_To_Interventions,Commercial_Availability,Cost_Approx,Key_Publication,Year,Notes
"Elysium Index","Epigenetic","Elysium Health (co-founded by Leonard Guarente, MIT)","Saliva sample (mail-in kit); DNA methylation analysis via Illumina array; reports biological age and rate of aging across 10 aging areas",Partially,"Unknown (based on validated clock algorithms but proprietary composite less independently validated)","Unknown (limited independent intervention studies)","Yes (Elysium Health, elysiumhealth.com)","$299","Elysium technical validation papers (proprietary)",2019,"Integration with Elysium supplement products (Basis NR + pterostilbene); saliva-based may differ from blood methylation; potential conflict of interest"
"TruAge","Epigenetic (comprehensive panel)","TruDiagnostic (CEO: Ryan Smith)","Blood sample (mail-in kit); Illumina EPIC array; calculates Horvath, Hannum, PhenoAge, GrimAge2, DunedinPACE, DNAmTL, OMICmAge, SYMPHONYAge, immune cell composition",Yes,"Strong (aggregates multiple validated clocks including GrimAge and DunedinPACE)","High (includes DunedinPACE which has excellent intervention sensitivity; longitudinal tracking capability)","Yes (TruDiagnostic, trudiagnostic.com; direct-to-consumer and clinician channels)","$229 (PACE) to $499 (COMPLETE)","Demidenko O et al. Rejuvant alpha-ketoglutarate and vitamins biological age study. Aging (Albany NY). 2021",2021,"Most comprehensive commercial epigenetic panel; exclusive DunedinPACE commercial license; largest consumer epigenetic dataset"
"GeroSense","AI / Wearable","Gero AI (Singapore)","Step counter and wearable device data (accelerometer); deep learning model predicts biological resilience and pace of aging from physical activity patterns",Partially,"Moderate (DOSI resilience metric correlates with mortality in validation cohorts)","Unknown (wearable-derived metrics are inherently responsive to physical activity changes)","Yes (Gero AI; available through partnerships)","$50-$150 (device-dependent)","Pyrkov TV et al. Longitudinal analysis of blood markers reveals progressive loss of resilience and predicts human lifespan limit. Nat Commun. 2021;12:2765",2021,"Novel wearable-based approach; non-invasive continuous monitoring; measures dynamic resilience rather than static age; requires consistent device wearing"
"Deep Aging Clocks (DACs)","AI / Multi-omic","Deep Longevity (Insilico Medicine spin-off)","Deep learning multimodal models trained on blood biochemistry, transcriptomics, microbiome, photographs, and other data types; multiple specialized clocks",Yes,"Moderate to Strong (validated across multiple cohorts; blood-based clocks show mortality prediction)","Moderate (blood biochemistry clocks respond to metabolic and lifestyle interventions)","Yes (Deep Longevity, deeplongevity.com; available via Young.AI app)","$100-$300 (basic blood panel); $500+ (comprehensive multi-modal)","Zhavoronkov A et al. Deep biomarkers of human aging. Aging (Albany NY). 2016;8(5):1021-1030; Mamoshina P et al. Nat Commun. 2018",2016,"Multiple specialized clocks (BloodAge, PhotoAge, MindAge, etc.); AI-driven approach; scalable; less mechanistic interpretability than epigenetic clocks"
"Aging.ai","AI / Blood biomarker","Deep Longevity (Insilico Medicine spin-off)","Standard blood test parameters (19-40 routine biomarkers: CBC, metabolic panel, lipids); neural network model predicts biological age",Yes,"Moderate (validated for age prediction; indirect mortality association via individual biomarker correlations)","Moderate (routine blood parameters respond to metabolic, lifestyle, and pharmacological interventions)","Yes (Deep Longevity; freely accessible online at aging.ai)","Free (web tool) to $50-$100 (with blood panel cost)","Mamoshina P et al. Population-specific biomarkers of human aging. J Gerontol A Biol Sci Med Sci. 2018;73(11):1482-1490",2018,"Accessible and low-cost; uses routine blood work; freely available online tool; less precise than epigenetic or proteomic clocks; affected by acute illness and fasting state"
"DNAmTL (Telomere Length)","Epigenetic (specialized)","Ake Lu and Steve Horvath / UCLA","140 CpG sites from Illumina 450K/EPIC array to estimate leukocyte telomere length from methylation patterns",Yes,"Moderate (shorter DNAmTL predicts mortality, CHD, and some cancers independently of other clocks)","Low (limited data; may respond to telomerase-activating interventions)","Yes (included in TruDiagnostic TruAge Complete)","$250-$500 (in panels)","Lu AT et al. DNA methylation-based estimator of telomere length. Aging (Albany NY). 2019;11(16):5895-5923",2019,"Complementary telomere perspective; provides independent predictive information; less characterized for intervention sensitivity"
"Proteomic Age (SomaScan)","Proteomic","Benoit Lehallier and Tony Wyss-Coray / Stanford","~3000-5000 plasma proteins via SomaScan aptamer-based proteomics platform; ML model predicts biological age",Yes,"Moderate to Strong (proteomic age acceleration associates with adverse health outcomes; non-linear aging waves at ages ~34, 60, 78)","Moderate (proteins are rapidly turned over and responsive; not as thoroughly validated as DunedinPACE for interventions)","Research only (SomaLogic research services; some longevity clinics)","$1000-$2500","Lehallier B et al. Undulating changes in human plasma proteome profiles across the lifespan. Nat Med. 2019;25(12):1843-1850",2019,"Captures organ-specific aging signals; directly measures functional proteins; mechanistically informative; expensive and requires specialized platform"
"Organ-Specific Proteomic Age","Proteomic (multi-organ)","Hamilton Oh and Tony Wyss-Coray / Stanford","Organ-enriched proteins from SomaScan platform; organ-specific aging scores for 11 major organs (brain, heart, liver, kidney, lung, intestine, muscle, pancreas, immune, fat, vasculature)",Yes,"Strong (multi-organ accelerated aging ~ 50% increased mortality; organ-specific acceleration predicts organ-specific disease)","Unknown (early-stage; theoretical sensitivity based on protein turnover rates)","Research only","$1000-$2500","Oh HS et al. Organ aging signatures in the plasma proteome track health and disease. Nature. 2023;624:164-172",2023,"Paradigm shift from whole-body to organ-specific aging; ~1 in 5 healthy adults 50+ have accelerated aging in at least one organ; enables targeted interventions"
"iAge (Inflammatory Age)","Inflammatory","Nazish Sayed and David Furman / Stanford and Buck Institute; commercialized by Edifice Health","~50 inflammatory cytokines and chemokines in blood via Luminex multiplex; deep learning model; key driver is CXCL9",Yes,"Moderate to Strong (iAge acceleration predicts CVD, immune decline, multi-morbidity, and frailty)","Moderate (responds to anti-inflammatory interventions; less characterized than epigenetic clocks)","Limited (Edifice Health, edificehealth.com)","$500-$1000","Sayed N et al. An inflammatory aging clock (iAge) based on deep learning. Nat Aging. 2021;1:598-615",2021,"Captures inflammaging dimension; CXCL9 identified as key driver; validated in Stanford 1000 Immunomes cohort; limited commercial availability"
"GDF-15","Single protein biomarker","Multiple groups (broadly studied since ~2010)","Standard immunoassay (ELISA) or multiplex platforms (Olink, SomaScan) from blood sample",Yes,"Very Strong (one of the single most powerful protein mortality predictors; each doubling ~ 1.5-2x mortality risk)","High (responds to exercise, weight loss, metformin, GLP-1 agonists)","Yes (Quest, Labcorp, standard clinical labs)","$50-$200","Wiklund FE et al. MIC-1/GDF15: a new marker of all-cause mortality. Aging Cell. 2010;9(6):1057-1064",2010,"Component of GrimAge; sentinel biomarker of multi-system aging; rises ~2-5 fold between ages 30-80; simple and inexpensive clinical test"
"Frailty Index (Fried/Rockwood)","Clinical / Functional","Linda Fried (Columbia) and Kenneth Rockwood (Dalhousie)","Fried Phenotype: 5 criteria (weight loss, exhaustion, low activity, slow gait, weak grip); Rockwood: 30-70 health variable deficit accumulation; clinical assessment",Yes,"Very Strong (one of the strongest clinical predictors of mortality in older adults, independent of age and comorbidities)","High (responds to exercise, D+Q senolytics, GlyNAC, nutritional interventions)","Yes (free clinical assessment; no lab test required)","Free","Fried LP et al. Frailty in older adults: evidence for a phenotype. J Gerontol A Biol Sci Med Sci. 2001;56(3):M146-M156",2001,"FDA-accepted as composite functional endpoint; used in senolytic trials; no lab cost; subjective components; floor/ceiling effects in some populations"
"Grip Strength","Physical function","Multiple groups (widely standardized)","Handheld dynamometer (e.g., Jamar); maximum force in kg",Yes,"Very Strong (each 5 kg decline ~ 15-20% increased mortality risk; predicts CVD mortality and disability)","High (responds to exercise, nutritional interventions, GlyNAC, urolithin A)","Yes (free to administer; dynamometer cost ~$25-$50)","$25-$50 (device only)","Leong DP et al. Prognostic value of grip strength. Lancet. 2015;386(9990):266-273",2001,"Simplest and cheapest aging biomarker; strong mortality predictor; standardized protocol; reflects sarcopenia and overall physical function"
"Gait Speed","Physical function","Multiple groups; Studenski et al. key validation","Timed walk over 4-6 meters; measured in meters per second (m/s)",Yes,"Very Strong (<0.8 m/s significantly increased mortality; each 0.1 m/s increase ~ 12% reduced mortality risk)","High (responds to exercise, D+Q, GlyNAC, physical therapy)","Yes (free; requires only stopwatch and hallway)","Free","Studenski S et al. Gait speed and survival in older adults. JAMA. 2011;305(1):50-58",2011,"Called the sixth vital sign in geriatrics; FDA-accepted functional endpoint; free and universally accessible; reflects multi-system integration"
"InsideTracker InnerAge","Blood biomarker / AI","InsideTracker (Gil Blander, MIT)","Standard blood panel (~40+ biomarkers: glucose, hsCRP, LDL, HDL, triglycerides, HbA1c, albumin, CBC, hormones, vitamins); ML algorithm calculates InnerAge",Yes,"Moderate (individual biomarkers are validated mortality predictors; composite InnerAge algorithm is proprietary and less externally validated)","High (standard blood biomarkers are highly responsive to diet, exercise, supplementation, and pharmacological interventions)","Yes (InsideTracker, insidetracker.com)","$189-$589","Proprietary algorithm; published internal validation studies",2013,"Actionable recommendations; uses standard blood work; integrates wearable data; frequent retesting feasible; proprietary algorithm with limited peer-reviewed validation"
