Intervention_Name,Category,Subcategory,Mechanism_of_Action,Target_Hallmark(s),Preclinical_Evidence_Summary,Lifespan_Extension_Pct,Species_Tested,Clinical_Trial_Phase,NCT_Number,Clinical_Endpoints,Clinical_Results_Summary,Safety_Profile,Key_Publication,Publication_Year,DOI_or_URL,Evidence_Grade,Notes
Metformin,Nutrient-Sensing Modulator,Biguanide AMPK activator,"AMPK activation via mitochondrial complex I inhibition; indirect mTORC1 inhibition; promotes autophagy; anti-inflammatory (reduces NF-kB, IL-6, TNF-alpha); gut microbiome modulation (increases Akkermansia); may slow epigenetic aging; reduces insulin/IGF-1 signaling",Deregulated Nutrient-Sensing;Chronic Inflammation;Mitochondrial Dysfunction;Disabled Macroautophagy;Dysbiosis,"~5-6% lifespan extension in mice (Martin-Montalvo 2013); epidemiological: diabetics on metformin lived 15% longer than non-diabetic controls (Bannister 2014); MILES pilot showed geroprotective gene expression changes","5-6 (mice)",Mouse;Human (epidemiological),Phase 3,"NCT02432287","Composite: CVD, cancer, dementia, death; gait speed; grip strength; epigenetic age; inflammatory markers","TAME trial enrolling 3000 non-diabetic adults 65-79 (6-year); MILES pilot positive for gene expression; Nature Signal Transduction 2024: decelerates aging clock biomarkers; 2025 review: emerging uncertainty; generally NOT demonstrated anticipated benefits in non-diabetic RCTs","Extremely well-characterized over 60+ years (~150M patients); GI symptoms (20-30%, improved with ER); vitamin B12 deficiency; lactic acidosis extremely rare (2-9/100K patient-years); no immunosuppression; ~$4/month generic","Barzilai N et al. Metformin as a Tool to Target Aging. Cell Metab. 2016;23(6):1060-1065",2016,10.1016/j.cmet.2016.05.011,B,"TAME now under ARPA-H framework; Eli Lilly planning TAME-like study with GLP-1 agonist; uniquely accessible at ~$4/month"
"Yamanaka Factors (OSK/OSKM)",Epigenetic Reprogramming,Transcription factor-based partial reprogramming,"Oct4, Sox2, Klf4 (OSK, omitting oncogene c-Myc) transiently expressed via AAV; resets epigenome to younger state without full dedifferentiation; reverses DNA methylation age; restores youthful gene expression while maintaining cell identity",Epigenetic Alterations;Telomere Attrition;Stem Cell Exhaustion;Loss of Proteostasis,"AAV-OSK in 124-week-old mice: 109% extension of median remaining lifespan (PubMed: 38381405); Cell 2025 (Belmonte): reversed mesenchymal drift; bioRxiv 2025: single-factor approach demonstrated",109 (remaining lifespan),Mouse,Preclinical,N/A,"N/A (Altos Labs planning human safety testing August 2025; Retro Bio first trial by end 2025)","No human trials completed; Altos Labs ($3B) planning human safety testing August 2025; Retro Biosciences ($1B Series A) first human trial in Australia by end 2025; Turn Bio ($300M HanAll deal) IND-enabling for TRN-001 targeting 2026","Major concern: tumorigenesis risk; c-Myc is oncogene (hence OSK without M); even OSK carries risk if expression not precisely controlled; chemical reprogramming alternatives being explored as safer approach","AAV-OSK lifespan extension study. PubMed: 38381405",2024,https://pubmed.ncbi.nlm.nih.gov/38381405/,C,"Largest mammalian lifespan extension by any intervention; $3B+ industry investment (Altos Labs, Retro Bio, Turn Bio, Life Bio, NewLimit, Shift Bio)"
Semaglutide,GLP-1 Agonist,GLP-1 receptor agonist,"GLP-1 receptor agonist and incretin mimetic; glucose-dependent insulin secretion; appetite suppression; reduces systemic inflammation (CRP, IL-6, TNF-alpha); modulates immune cell function; potential direct CNS effects via brain GLP-1 receptors; MACE reduction independent of weight loss",Chronic Inflammation;Deregulated Nutrient-Sensing;Altered Intercellular Communication,"Limited preclinical aging-specific data; clinical evidence emerging for aging-relevant endpoints; HIV study: slowed DNA methylation aging (PCGrimAge -3.1yr, PhenoAge -4.9yr, DunedinPACE -9%)",N/A,Human,Phase 3,"NCT03574597;NCT04788511","MACE-3; all-cause mortality; KCCQ scores; epigenetic aging clocks; Alzheimer's endpoints (EVOKE/EVOKE+ ongoing)","SELECT: 20% MACE reduction (HR 0.80, p<0.001) in 17604 adults; 19% all-cause death reduction; STEP-HFpEF: improved symptoms and function; HIV epigenetic aging: remarkable clock reversal; EVOKE/EVOKE+ Phase 3 for Alzheimer's underway","Well-established from millions of patients; nausea, vomiting, diarrhea (typically transient); rare pancreatitis; thyroid C-cell tumors in rodents (not confirmed in humans); muscle mass loss with weight loss is concern for older adults","Lincoff AM et al. Semaglutide and Cardiovascular Outcomes in Obesity without Diabetes. N Engl J Med. 2023;389(24):2221-2232",2023,10.1056/NEJMoa2307563,B,"Nature Biotechnology 2025: Are GLP-1s the first longevity drugs?; no healthy-population longevity trials yet; most evidence from metabolically unhealthy cohorts"
Tirzepatide,GLP-1 Agonist,Dual GIP/GLP-1 receptor agonist,"Dual GIP/GLP-1 receptor agonist; activates both incretin receptor systems; potentially broader metabolic and anti-inflammatory effects than GLP-1 agonism alone",Chronic Inflammation;Deregulated Nutrient-Sensing;Altered Intercellular Communication,"Emerging aging-relevant data; similar class effects expected to semaglutide; cardiovascular and metabolic protection data from SURPASS and SURMOUNT programs",N/A,Human,Phase 3 (metabolic),N/A,Cardiovascular outcomes; metabolic parameters; weight loss,"No dedicated aging/longevity trials; cardiovascular and metabolic protection data accumulating from SURPASS/SURMOUNT trial programs; similar anti-inflammatory class effects expected","Well-established safety from SURPASS/SURMOUNT trials; GI side effects (nausea, diarrhea); similar profile to semaglutide","SURPASS and SURMOUNT trial program publications",2023,https://www.nejm.org/doi/full/10.1056/NEJMoa2206038,B,"No dedicated aging trials; potential for broader effects than semaglutide due to dual receptor mechanism"
"Urolithin A (Mitopure)",Mitochondrial Therapy,Mitophagy activator,"Natural gut metabolite from ellagitannins; potent PINK1/Parkin mitophagy pathway activator; triggers selective clearance of damaged mitochondria; stimulates compensatory mitochondrial biogenesis; improves cellular energy production and reduces oxidative stress",Mitochondrial Dysfunction;Disabled Macroautophagy;Chronic Inflammation,"25+ registered human trials; $50M+ R&D; 80+ global patents; 12% muscle strength improvement over 4 months (PMC9133463); MitoImmune 2025: expanded naive CD8+ T cells demonstrating immune rejuvenation",N/A,Mouse;Human,Phase 2/3,"NCT03464500;NCT04160312","Muscle strength and endurance; mitochondrial biomarkers; naive CD8+ T cell expansion; brain health (CLARITY study, 650 pts)","ATLAS Phase 2: improved mitochondrial biomarkers and leg muscle strength at 500mg; elderly study: improved muscle endurance and grip strength; MitoImmune (Nature Aging 2025): 1000mg/day x 4 weeks expanded naive CD8+ T cells; CLARITY (650 pts, brain health) completing March 2026","Well-tolerated across multiple clinical trials; no significant AEs at doses up to 1000mg/day; GRAS status; commercially available as supplement (Mitopure)","Liu S et al. Urolithin A in middle-aged adults. JAMA Netw Open. 2022;5(1):e2144279",2022,10.1001/jamanetworkopen.2021.44279,A,"One of most accessible longevity compounds with clinical evidence; commercially available; CLARITY (650 pts) is largest mitophagy enhancer trial for neurological endpoints"
"Elamipretide (SS-31/FORZINITY)",Mitochondrial Therapy,Cardiolipin-targeting peptide,"Mitochondria-targeting tetrapeptide (D-Arg-dimethylTyr-Lys-Phe-NH2); selectively concentrates in inner mitochondrial membrane; binds cardiolipin; stabilizes cristae structure; reduces ROS at complex III; enhances ATP production; optimizes cytochrome c interaction",Mitochondrial Dysfunction;Genomic Instability,"Reverses age-related redox stress; improves exercise tolerance in aged mice; restores mitochondrial function across tissue types",N/A,Mouse;Human,FDA Approved (Barth syndrome),N/A,"Barth syndrome (TAZPOWER); heart failure (PROGRESS-HF); primary mitochondrial myopathy (MMPOWER-3); AMD (ReCLAIM)","FDA approved September 2025 as FORZINITY for Barth syndrome under accelerated approval; first FDA-approved mitochondria-targeting peptide therapy; creates pathway for broader aging-related applications","Safety data from multiple clinical trials; generally well-tolerated; injection site reactions common (subcutaneous administration); specific profile varies by indication and dosing","Szeto HH. First-in-class cardiolipin-protective compound. Br J Pharmacol. 2014;171(8):2029-2050",2014,10.1111/bph.12461,A,"FDA approval for Barth syndrome (Sept 2025) establishes regulatory precedent for mitochondria-targeting therapies; aging-related repurposing potential"
Taurine,Emerging Intervention,Semi-essential amino acid,"Reduces cellular senescence; protects telomerase activity; enhances mitochondrial function; reduces DNA damage; attenuates inflammaging; modulates oxidative stress; identified as fundamental aging driver by Singh et al. 2023 Science",Cellular Senescence;Telomere Attrition;Mitochondrial Dysfunction;Chronic Inflammation;Genomic Instability,"Life expectancy increased 12% (female) and 10% (male) in mice; life expectancy at 28 months increased 18-25% (~7-8 human year equivalent); C. elegans lifespan extended 10-23%; lower taurine correlated with age-related diseases in humans","10-12 (mice); 10-23 (C. elegans)",Mouse;C. elegans;Human (correlation),No aging RCTs,N/A,"N/A (observational and mechanistic studies ongoing)","No large-scale RCTs for aging endpoints; observational data showing lower taurine correlated with age-related diseases; 2024 follow-up noted large interindividual variation and inconsistencies in human data","Long history of safe use as supplement; present in energy drinks and foods; no significant toxicity at standard doses; upper limit not well-established for chronic high-dose use","Singh P et al. Taurine deficiency as a driver of aging. Science. 2023;380(6649):eabn9257",2023,https://pubmed.ncbi.nlm.nih.gov/37289866/,C,"Landmark 2023 Science paper; widely available as supplement; no RCTs yet; large interindividual variation noted"
"GlyNAC (Glycine + N-Acetylcysteine)",Emerging Intervention,Glutathione precursor combination,"Glycine + NAC serve as precursors for glutathione (GSH) synthesis; restores age-depleted glutathione levels; improves mitochondrial function and fuel oxidation; reduces oxidative stress; lowers inflammation; improves genomic damage markers",Mitochondrial Dysfunction;Chronic Inflammation;Genomic Instability;Loss of Proteostasis,"Research led by Sekhar lab at Baylor College of Medicine; 36-week pilot RCT: GlyNAC reversed multiple age-associated defects; stopping for 12 weeks caused defects to return; improved glutathione, oxidative stress, mitochondrial function, inflammation",N/A,Human,Phase 2,"NCT04740034","Glutathione levels; oxidative stress (TBARS, F2-isoprostanes); mitochondrial fatty acid oxidation; gait speed; grip strength; cognition; insulin resistance; body composition","Remarkably broad improvements: corrected glutathione deficiency, reduced oxidative stress, improved mitochondrial function, inflammation, insulin resistance, endothelial function, body composition, cognition, strength, gait speed, exercise capacity; benefits reversed upon cessation","Safe and well-tolerated; both glycine and NAC have extensive safety records; NAC is FDA-approved (Mucomyst); no significant AEs reported","Kumar P et al. GlyNAC in older adults. Clin Transl Med. 2021;11(3):e372",2021,10.1002/ctm2.372,B,"Benefits reversed upon stopping supplementation suggesting ongoing use necessary; Alzheimer's implications through glutathione restoration and oxidative stress reduction"
Spermidine,Autophagy Activator,Natural polyamine,"Most potent known autophagy inducer; autophagy induction via eIF5A hypusination; EP300/CBP acetyltransferase inhibition leading to deacetylation of autophagy-related proteins; TFEB activation; NF-kB suppression and anti-inflammatory effects",Disabled Macroautophagy;Loss of Proteostasis;Chronic Inflammation;Deregulated Nutrient-Sensing,"Cardioprotection and lifespan extension in mice (Eisenberg 2016); spermidine intake associated with reduced cardiovascular mortality in observational studies; cognitive effects inconsistent across studies",Not reported,Mouse;Drosophila;Human,Phase 2,"NCT03094546;NCT05421546","Memory performance (mnemonic similarity task); cardiac diastolic function; autophagy markers; inflammatory markers; cardiometabolic endpoints (POLYCAD trial, 187 patients)","SmartAge: trend toward improved memory, modest effect sizes; cognitive effects inconsistent (100 pts, 12 months: no benefit); 40mg/day safe and tolerable in healthy older men over 28 days; POLYCAD trial (187 elderly CAD patients) recruitment completed August 2025","40mg/day demonstrated safety and tolerability; natural dietary component (wheat germ, soybeans, aged cheese); no significant AEs in published studies","Eisenberg T et al. Cardioprotection and lifespan extension by the natural polyamine spermidine. Nat Med. 2016;22(12):1428-1438",2016,10.1038/nm.4222,B,"Natural compound found in wheat germ, soybeans, aged cheese; cognitive effects remain inconsistent across trials"
"Alpha-Ketoglutarate (AKG)",Emerging Intervention,TCA cycle metabolite / CR mimetic,"Key TCA cycle intermediate; caloric restriction mimetic; cofactor for TET DNA demethylases and Jumonji histone demethylases (epigenetic regulation); mTOR modulation; HIF-1alpha regulation; required for prolyl hydroxylase activity (collagen synthesis)",Epigenetic Alterations;Deregulated Nutrient-Sensing;Mitochondrial Dysfunction,"Ca-AKG reduced biological age by average 8 years over 7 months in pilot human study; 2025 mouse studies: improved memory formation and neuroprotection via mTOR modulation",Not reported,Mouse;Human,Pilot / Phase 2,"NCT05706389;NCT07114536","Biological age (TruAge DNA methylation clock); blood biomarkers; self-reported health; ABLE trial: 1g Ca-AKG for 6 months in 120 adults aged 40-60","Pilot: average 8-year biological age reduction (TruAge clock) over 7 months (uncontrolled, n=42); ABLE trial (Singapore, 120 adults 40-60) is most rigorous AKG aging trial to date; 2025 mouse neuroprotection studies positive","Ca-AKG generally well-tolerated; natural metabolite present in all cells; no significant safety concerns at supplementation doses; available as supplement","Demidenko O et al. Rejuvant CaAKG biological age reduction. Aging (Albany NY). 2021;13(7):9711-9728",2021,10.18632/aging.202913,B,"Pilot study limitations: small sample size (n=42), single-arm, no placebo; ABLE trial in Singapore will provide more rigorous data"
Klotho Gene Therapy,Gene Therapy,AAV-delivered anti-aging gene,"Klotho protein: FGF23 co-receptor (phosphate/calcium metabolism); anti-inflammatory (reduces NF-kB, TNF-alpha); anti-fibrotic (inhibits TGF-beta); neuroprotective (enhances synaptic plasticity); anti-oxidant (enhances SOD2, catalase); Wnt signaling modulator",Chronic Inflammation;Stem Cell Exhaustion;Altered Intercellular Communication;Genomic Instability,"AAV-Klotho prolonged mouse lifespan by 19.7% (Molecular Therapy 2025); mice lived 15-20% longer with better physical performance, larger muscle fibers, less fibrosis; reversed astrocyte depletion, increased neurons and microglia",19.7,Mouse;Human (dementia patients - cognitive improvement reported),Early clinical,N/A,"Lifespan; physical performance; muscle fiber size; cognitive scores; combined Klotho + Follistatin trial initiated for healthy adults","Dementia patients showed improved cognitive scores post-therapy; combined Klotho + Follistatin clinical trial for healthy adults initiated; Minicircle Bio expects clinical stage in 2026","AAV vector delivery carries standard gene therapy risks (immunogenicity, insertional mutagenesis); Klotho overexpression appears well-tolerated preclinically; long-term effects of sustained Klotho elevation unknown","Klotho gene therapy lifespan study. Molecular Therapy. 2025",2025,https://doi.org/10.1016/j.ymthe.2025.01.001,C,"Three new patents filed; Minicircle Bio targeting clinical stage 2026; combined Klotho + Follistatin trial ongoing"
