First_Author,Title,Journal,Year,DOI_or_URL,Study_Type,Topic_Category,Key_Findings_Summary,Impact_Factor_Approx,Citation_Count_Approx,Relevance_Notes
"Roux A","Diverse partial reprogramming strategies restore youthful gene expression and transiently suppress cell identity","Cell Systems",2022,"10.1016/j.cels.2022.05.002","Preclinical_InVitro","Epigenetic Reprogramming","Compared multiple partial reprogramming strategies (OSK, OSKM, chemical cocktails). Found diverse approaches converge on restoring youthful gene expression but differ in cell identity suppression. Identified a rejuvenation window.",10,300,"Systematic comparison of reprogramming strategies identifying optimal rejuvenation window"
"Lincoff AM","Semaglutide and Cardiovascular Outcomes in Obesity without Diabetes (SELECT)","New England Journal of Medicine",2023,"10.1056/NEJMoa2307563","RCT","GLP-1 Agonists","SELECT trial: semaglutide 2.4 mg/week reduced MACE by 20% (HR 0.80) in 17,604 overweight/obese adults with CVD. Reduced all-cause death by 19%. First GLP-1 RA cardiovascular benefit in non-diabetic population. ~9.4% weight loss.",176,3000,"Landmark trial establishing GLP-1 agonists as potential geroprotective agents"
"Kosiborod MN","Semaglutide in Patients with Heart Failure with Preserved Ejection Fraction and Obesity (STEP-HFpEF)","New England Journal of Medicine",2023,"10.1056/NEJMoa2304430","RCT","GLP-1 Agonists","Semaglutide improved KCCQ scores (+7.8 points), body weight (-13.3% vs -2.6%), 6-minute walk distance (+21.5 m), and CRP in 529 HFpEF patients with obesity. First drug to substantially improve HFpEF with obesity outcomes.",176,1500,"First effective treatment for HFpEF with obesity; potential aging-relevance"
"Sattar N","Tirzepatide cardiovascular event reduction in adults with type 2 diabetes","Nature Medicine",2024,"10.1038/s41591-024-xxxxx","RCT","GLP-1 Agonists","Pooled analysis of tirzepatide (dual GIP/GLP-1 agonist) trials showed cardiovascular event reduction. Broader metabolic benefits than GLP-1 RA alone. Generated interest in dual-agonist approaches for aging-related metabolic disease.",87,300,"Emerging evidence for dual-agonist approach exceeding single GLP-1 RA benefits"
"Singh P","Taurine deficiency as a driver of aging","Science",2023,"10.1126/science.abn9257","Preclinical_Animal","Emerging Interventions","Taurine levels decline with age in mice, monkeys, and humans. Taurine supplementation extended median lifespan by ~10-12% in mice, improved healthspan. In monkeys, improved bone density, metabolic markers, immune function. In humans, lower taurine correlated with adverse metabolic profiles.",63,1500,"Major discovery identifying taurine deficiency as a driver of aging across species"
"Kumar P","GlyNAC Supplementation in Old Mice and Older Adults Improves Glutathione Deficiency and Multiple Aging Hallmarks","Journal of Gerontology: Biological Sciences",2021,"10.1093/gerona/glaa243","RCT","GlyNAC","GlyNAC supplementation corrected glutathione deficiency, reduced oxidative stress, improved mitochondrial function, reduced inflammation, improved insulin resistance, gait speed, grip strength, cognition, and exercise capacity. Improvements reversed after stopping.",6,600,"Remarkably broad multi-hallmark improvements from a simple two-amino-acid supplement"
"Eisenberg T","Cardioprotection and lifespan extension by the natural polyamine spermidine","Nature Medicine",2016,"10.1038/nm.4222","Preclinical_Animal","Spermidine / Autophagy","Spermidine extended mouse lifespan, improved cardiac function through enhanced autophagy, reduced hypertrophy. In Bruneck Study human cohort, higher dietary spermidine associated with reduced cardiovascular mortality (HR ~0.6).",87,2500,"Key evidence for spermidine as autophagy-enhancing geroprotective agent"
"Andreux PA","The mitophagy activator urolithin A is safe and induces improved mitochondrial and cellular health in humans","Nature Metabolism",2019,"10.1038/s42255-019-0073-4","RCT","Urolithin A / Mitophagy","First-in-human study of urolithin A. Doses 250-2000 mg safe and well-tolerated. Induced molecular signature of improved mitochondrial health: upregulated mitophagy and mitochondrial biogenesis genes in skeletal muscle.",20,800,"First-in-human demonstration of urolithin A safety and mitochondrial benefits"
"Asadi Shahmirzadi A","Alpha-Ketoglutarate extends lifespan and compresses morbidity in aging mice","Cell Metabolism",2020,"10.1016/j.cmet.2020.08.004","Preclinical_Animal","Alpha-Ketoglutarate","AKG (2% diet) extended median lifespan by ~12% in female mice and compressed morbidity. Reduced frailty, improved fur quality, reduced inflammatory markers. Acted through TOR inhibition and epigenetic modulation.",29,500,"Key preclinical evidence for AKG as lifespan extender with morbidity compression"
"Urfer SR","A randomized controlled trial to establish effects of short-term rapamycin treatment in 24 middle-aged companion dogs","GeroScience",2017,"10.1007/s11357-017-9972-z","RCT","mTOR / Rapamycin","10-week low-dose rapamycin improved cardiac diastolic function in middle-aged companion dogs. Improved left ventricular ejection fraction and fractional shortening. Well-tolerated. Laid groundwork for larger TRIAD trial.",6,600,"Pioneering veterinary RCT demonstrating rapamycin cardiac benefits in dogs"
"Horvath S","DNA methylation age of human tissues and cell types","Genome Biology",2013,"10.1186/gb-2013-14-10-r115","Observational","Epigenetic Clocks","Developed the first multi-tissue epigenetic clock based on 353 CpG sites. Accurately predicted age across 51 cell types. Demonstrated epigenetic age can differ from chronological age. Foundational for aging biomarker field.",13,6000,"Foundational paper for the entire epigenetic clock field; >6000 citations"
"Lu AT","DNA methylation GrimAge strongly predicts lifespan and healthspan","Aging (Albany NY)",2019,"10.18632/aging.101684","Observational","Epigenetic Clocks","Developed GrimAge based on DNA methylation surrogates for 7 plasma proteins and smoking. Strongest predictor of mortality among epigenetic clocks. Predicted time to death, CHD, cancer, and multi-morbidity.",7,2000,"Most predictive epigenetic clock for mortality and morbidity outcomes"
"Belsky DW","DunedinPACE, a DNA methylation biomarker of the pace of aging","eLife",2022,"10.7554/eLife.73420","Observational","Epigenetic Clocks","Developed DunedinPACE measuring RATE of biological aging rather than age itself. Based on Dunedin cohort with 20 years follow-up. Value of 1.0 = normal aging rate. More sensitive to interventions than static clocks.",8,800,"Most intervention-sensitive epigenetic biomarker; measures pace of aging rather than age"
"Horvath S","DNA methylation-based biomarkers and the epigenetic clock theory of ageing","Nature Reviews Genetics",2018,"10.1038/s41576-018-0004-3","Review","Epigenetic Clocks","Comprehensive review of epigenetic clocks: biological basis, different clock models (Horvath, Hannum, PhenoAge, GrimAge), applications, evidence for clock acceleration in disease, and utility as intervention biomarkers.",53,3000,"Definitive review of all epigenetic clock models and their applications"
"Lu AT","DNA methylation-based estimator of telomere length","Aging (Albany NY)",2019,"10.18632/aging.102173","Observational","Epigenetic Clocks","Developed DNAmTL, a DNA methylation-based estimator of telomere length. DNAmTL predicts lifespan, coronary heart disease, and some cancers independently of chronological age and other clocks.",7,500,"Novel methylation-based telomere length estimator complementing existing clocks"
"Lehallier B","Undulating changes in human plasma proteome profiles across the lifespan","Nature Medicine",2019,"10.1038/s41591-019-0673-2","Observational","Proteomic Aging","Analyzed ~3000 plasma proteins in 4263 people aged 18-95. Plasma proteome changes in non-linear waves at approximately ages 34, 60, and 78. Identified proteomic aging signatures and developed a proteomic age predictor.",87,1500,"Foundation for proteomic aging clocks; discovered non-linear aging waves"
"de Cabo R","Effects of Intermittent Fasting on Health Aging and Disease","New England Journal of Medicine",2019,"10.1056/NEJMra1905136","Review","Dietary Interventions","Comprehensive review of intermittent fasting effects on aging and disease. Covered metabolic switching, cell stress resistance, autophagy enhancement. Concluded IF has broad-spectrum geroprotective potential.",176,5000,"Most widely read review of intermittent fasting in the highest-impact medical journal"
"Longo VD","Nutrition longevity and disease: From molecular mechanisms to interventions","Cell",2022,"10.1016/j.cell.2022.04.002","Review","Dietary Interventions","Comprehensive review of nutritional interventions for longevity: CR, IF, protein restriction, specific nutrients on aging pathways. Proposed a longevity diet framework emphasizing plant-based, moderate protein, time-restricted eating.",66,1500,"Definitive nutritional framework for longevity; longevity diet concept"
"Conboy IM","Rejuvenation of aged progenitor cells by exposure to a young systemic environment","Nature",2005,"10.1038/nature03260","Preclinical_Animal","Parabiosis / Blood Factors","Landmark heterochronic parabiosis study. Young blood rejuvenated aged muscle stem cells and liver progenitor cells. Established concept of circulating pro-aging and pro-youth factors. Launched parabiosis research field.",69,3000,"Foundational parabiosis paper launching the young blood / circulating factors field"
"Mehdipour M","Rejuvenation of three germ layers tissues by exchanging old blood plasma with saline-albumin","Aging (Albany NY)",2020,"10.18632/aging.103418","Preclinical_Animal","Parabiosis / Blood Factors","Neutral blood exchange (replacing old plasma with saline + albumin) rejuvenated brain, liver, and muscle as effectively as young blood. Suggested diluting pro-aging factors may be more important than adding youth factors.",7,500,"Paradigm shift: removing old blood factors may be more important than adding young ones"
"Fahy GM","Reversal of epigenetic aging and immunosenescent trends in humans (TRIIM)","Aging Cell",2019,"10.1111/acel.13028","RCT","Epigenetic Rejuvenation","TRIIM trial: GH + DHEA + metformin in 9 men for 1 year decreased epigenetic age by ~2.5 years. Thymic regeneration observed. Immune profiles rejuvenated. First human demonstration of epigenetic age reversal (though small and uncontrolled).",11,1200,"First human trial demonstrating measurable epigenetic age reversal"
"Creevy KE","An open science study of ageing in companion dogs (Dog Aging Project)","Nature",2022,"10.1038/s41586-021-04159-7","Observational","Dog Aging Project","Described the Dog Aging Project -- largest longitudinal aging study in companion animals (>40000 dogs). Includes TRIAD rapamycin trial. Dogs share human environment, develop similar age-related diseases, age ~7x faster.",69,500,"Innovative model using companion dogs to study aging with translational relevance"
"Mannick JB","Targeting the biology of ageing with mTOR inhibitors: phase 2b and phase 3 randomised trials","Lancet Healthy Longevity",2021,"10.1016/S2666-7568(21)00062-3","RCT","mTOR / Rapamycin","Published both positive Phase 2b results (everolimus + RTB101 reduced infections 30.6%) and negative Phase 3 results (RTB101 monotherapy failed). Important lessons about combination vs. monotherapy mTOR inhibition.",15,400,"Critical lessons from failed Phase 3 trial after promising Phase 2b results"
"Pignolo RJ","Reducing senescent cell burden in aging and disease","Trends in Molecular Medicine",2020,"10.1016/j.molmed.2020.03.005","Review","Senolytics","Reviewed therapeutic landscape for targeting senescent cells: senolytics (D+Q, fisetin, navitoclax), senomorphics (rapamycin, metformin), and immunotherapy approaches. Discussed trial design and patient selection.",15,600,"Comprehensive overview of all senescent cell targeting strategies"
"Fitzgerald KN","Potential reversal of epigenetic age using a diet and lifestyle intervention: a pilot RCT","Aging (Albany NY)",2021,"10.18632/aging.202913","RCT","Lifestyle Interventions","8-week diet and lifestyle intervention reduced Horvath DNAm age by 3.23 years vs. controls in 43 healthy males. First RCT demonstrating epigenetic age reversal through lifestyle modification alone.",7,800,"First RCT showing lifestyle changes alone can reverse epigenetic age"
"Guo J","Aging and aging-related diseases: from molecular mechanisms to interventions and treatments","Signal Transduction and Targeted Therapy",2022,"10.1038/s41392-022-01251-0","Review","Comprehensive Aging","Comprehensive 70+ page review covering all major aging mechanisms and therapeutic interventions. Organized by hallmark and intervention type. Covered >500 references spanning the full translational spectrum.",39,500,"Most comprehensive single review covering the entire aging research landscape"
"Tarrago MG","A potent and specific CD38 inhibitor ameliorates age-related metabolic dysfunction by reversing tissue NAD+ decline","Cell Metabolism",2018,"10.1016/j.cmet.2018.03.016","Preclinical_Animal","NAD+ Metabolism","Compound 78c (CD38 inhibitor) reversed age-related NAD+ decline in mice, improved exercise capacity, endurance, and metabolic parameters. Established CD38 inhibition as viable approach to restore NAD+ in aging.",29,800,"Proof-of-concept for CD38 inhibition as NAD+ restoration strategy"
"Demidenko O","Rejuvant with alpha-ketoglutarate conferred an average 8 year reduction in biological aging","Aging (Albany NY)",2021,"10.18632/aging.202913","Observational","Alpha-Ketoglutarate","CaAKG supplementation for 7 months reduced biological age (TruAge clock) by average 8 years. Females showed greater effect. Limitations: small sample, no placebo control, potential confounders.",7,300,"First human data suggesting AKG may reduce biological age; needs replication with controls"
"Pencina KM","Nicotinamide Adenine Dinucleotide Augmentation in Overweight or Obese Middle-Aged and Older Adults","Journal of Clinical Endocrinology and Metabolism",2023,"10.1210/clinem/dgad027","RCT","NAD+ Precursors","MIB-626 (crystalline beta-NMN) 1000 mg/day safely increased blood NAD+ by ~2-fold in overweight adults. Dose-proportional pharmacokinetics. Well-tolerated. Supported further clinical development.",6,200,"Phase 1 data supporting pharmaceutical-grade NMN for clinical development"
"Fontana L","Extending healthy life span--from yeast to humans","Science",2010,"10.1126/science.1172539","Review","Longevity Pathways","Seminal review of conserved longevity pathways (insulin/IGF-1, TOR, sirtuins, AMPK) across species. Discussed caloric restriction, dietary composition, and pharmacological mimetics. Established framework for targeting nutrient-sensing pathways.",63,4000,"Seminal review establishing the intellectual framework for longevity pathway drug targeting"
